keys,en,ja,cn,tw,ptbr,es,kr,de,ru,pl,fr,ro,tr,esla
UI_CURSOR_DESC_10,Hold & drag to shoot coins like railgun. Fire rate & speed scales with coins,長押し&ドラッグで、コインをレールガンのように発射する。コインの所持枚数に応じて、連射速度と弾速が上がっていく。,按住或拖拽鼠标蓄力射击出硬币，射速和弹速受硬币数量影响,按住或拖曳滑鼠蓄力射出硬幣，射速與彈速會受到硬幣數量影響。,Segura & arraste para atirar moedas como uma railgun. Velocidade e cadência escalam com mais moedas,Mantén y arrastra para disparar monedas como si fuera un cañon de riel. Velocidad de disparo y de proyectil escala según tus monedas,,,"Удерживайте и тяните, чтобы выстрелить монетами, словно из рельсотрона. Скорость и темп стрельбы зависят от количества монет.",,,Ține apăsat și trage pentru a lansa monede ca un railgun. Viteza și rata de foc cresc în funcție de numărul de monede.,Basılı tutup sürükleyerek madeni paraları raylı tüfek gibi fırlat. Ateş hızı ve mermi hızı sahip olduğun para miktarına bağlıdır.,Mantén y arrastra para disparar monedas como si fuera un cañon de riel. La velocidad de disparo y de proyectil escala según tus monedas.
UI_CURSOR_UNLOCK_DESC_10,Cleared the game without spending coins,コインを1枚も使わずにゲームをクリアする。,不花费金币的情况下通关,在不花費金幣的情況下通關,Termine o jogo sem gastar moedas,Completa el juego sin gastar ninguna moneda,,,"Пройдите игру, не потратив ни одной монеты",,,Termină jocul fără să cheltui monede.,Oyunu para harcamadan bitir.,Completa el juego sin gastar ninguna moneda
UI_CURSOR_NAME_11,Recycling Cursor,リサイクルカーソル,环保鼠标,環保滑鼠,Cursor de Reciclagem,Cursor de Reciclaje,,,Курсор переработки,,,Recycling Cursor,Geri Dönüşüm İmleci,Cursor de reciclaje
UI_CURSOR_DESC_11,The files you pick up surrounds you.,回収したファイルが、カーソルの周りをぐるぐる回る。,你捡起的文件会环绕在你周围,你撿起的檔案會環繞在你周圍。,Os arquivos que pegar te rodeiam.,Los archivos que recojes te rodean,,,Подобранные файлы вращаются вокруг вас.,,,Fișierele pe care le ridici orbitează în jurul tău.,Topladığın dosyalar seni çevreler.,Los archivos que recoges te rodean.
UI_CURSOR_UNLOCK_DESC_11,Pick up {x} files,ファイルを{x}件回収する。,捡起 {x} 份文件,撿起 {x} 份檔案,Pegue {x} arquivos,Recoge {x} archivos,,,Соберите {x} файлов,,,Ridică {x} fișiere.,{x} dosya topla.,Recoge {x} archivos
UI_CURSOR_NAME_12,Lasso Cursor,投げ縄カーソル,牛仔鼠标,牛仔滑鼠,Cursor de Laço,Cursor de Lazo,,,Курсор-лассо,,,Lasso Cursor,Kement İmleci,Cursor de lazo
UI_CURSOR_DESC_12,How to Train Your Trojan Horse,トロイの木馬を手なづける方法。,360木马大师,360 木馬大師,Como Treinar o Seu Trojão,Como entrenar tu Caballo de Troya,,,Как приручить трояна,,,Cum să-ți dresezi Calul Troian.,Truva Atını Nasıl Eğitirsin,Como entrenar a tu Caballo de Troya
UI_CURSOR_UNLOCK_DESC_12,Identify a total of {x} Trojan viruses during their attack,攻撃モーション中のトロイ・ウイルスを合計{x}体検出すると、「投げ縄カーソル」がアンロックされる。,在木马病毒攻击期间识别出共计 {x} 个木马病毒,在木馬病毒攻擊期間識別出共計 {x} 個木馬病毒,Identifique um total de {x} vírus Trojan durante o ataque deles,Identifica un total de {x} 'Virus3_Troyano' durante su ataque,,,Определи в сумме {x} Троянов во время их атаки,,,Identifică un total de {x} viruși Trojan în timpul atacurilor lor.,Saldırıları sırasında toplamda {x} Truva virüsünü tanımla.,Identifica un total de {x} Virus Troyano durante su ataque
UI_CURSOR_NAME_13,Viking Cursor,ヴァイキングカーソル,维京人鼠标,維京人滑鼠,Cursor Viking,Cursor Vikingo,,,Курсор викинга,,,Viking Cursor,Viking İmleci,Cursor vikingo
UI_CURSOR_DESC_13,Coming soon in future updates.,今後のアップデートで追加予定,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Находится в разработке.,,,"În curând, în actualizările viitoare.",Yakında gelecek güncellemelerde eklenecek.,En próximas actualizaciones...
UI_CURSOR_UNLOCK_DESC_13,Coming soon in future updates.,今後のアップデートで追加予定,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Находится в разработке.,,,"În curând, în actualizările viitoare.",Yakında gelecek güncellemelerde eklenecek.,En próximas actualizaciones...
UI_CURSOR_NAME_14,Tesla Coil Cursor,テスラコイルカーソル,特斯拉线圈鼠标,特斯拉線圈滑鼠,Cursor Bobina de Tesla,Cursor de Bobina de Tesla,,,Тесла-курсор,,,Tesla Coil Cursor,Tesla Bobini İmleci,Cursor de Bobina de Tesla
UI_CURSOR_DESC_14,Coming soon in future updates.,今後のアップデートで追加予定,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Находится в разработке.,,,"În curând, în actualizările viitoare.",Yakında gelecek güncellemelerde eklenecek.,En próximas actualizaciones...
UI_CURSOR_UNLOCK_DESC_14,Coming soon in future updates.,今後のアップデートで追加予定,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Находится в разработке.,,,"În curând, în actualizările viitoare.",Yakında gelecek güncellemelerde eklenecek.,En próximas actualizaciones...
UI_CURSOR_NAME_15,Ping Pong Cursor,ピンポンカーソル,乒乓鼠标,乒乓滑鼠,Cursor Ping Pong,Cursor Ping Pong,,,Пинг-понг-курсор,,,Ping Pong Cursor,Pinpon İmleci,Cursor Ping Pong
UI_CURSOR_DESC_15,Coming soon in future updates.,今後のアップデートで追加予定,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Находится в разработке.,,,"În curând, în actualizările viitoare.",Yakında gelecek güncellemelerde eklenecek.,En próximas actualizaciones...
UI_CURSOR_UNLOCK_DESC_15,Coming soon in future updates.,今後のアップデートで追加予定,别急，程序猿在做啦！,別急，工程師在做啦！,"Em breve, em atualizações futuras.",En próximas actualizaciones...,,,Находится в разработке.,,,"În curând, în actualizările viitoare.",Yakında gelecek güncellemelerde eklenecek.,En próximas actualizaciones...
UI_CURSOR_RAND_NAME,Random,ランダム,随机,隨機,Aleatório,Aleatorio,,,Случайный курсор,,,Aleatoriu,Rastgele,Aleatorio
UI_CURSOR_RAND_DESC,Starts the game with a random cursor!,ランダムなカーソルでスタート！,随机鼠标开局！,隨機滑鼠開局！,Começa o jogo com um cursor aleatório!,¡Empieza el juego con un cursor aleatorio que ya tengas desbloqueado!,,,Начните игру со случайным курсором!,,,Începe jocul cu un cursor aleatoriu!,Oyuna rastgele bir imleçle başla!,¡Empieza el juego con un cursor aleatorio!
UI_CURSOR_TRAIL_NAME_0,,,,,,,,,,,,,,
UI_CURSOR_TRAIL_NAME_1,Circle Trail,軌跡：サークル,圆形尾迹,圓形尾跡,Rastro Circular,Rastro circular,,,Круглый след,,,Traseu de Cerc,Daire İzi,Rastro circular
UI_CURSOR_TRAIL_NAME_2,Triangle Trail,軌跡：トライアングル,三角尾迹,三角尾跡,Rastro Triangular,Rastro triangular,,,Треугольный след,,,Traseu de Triunghi,Üçgen İzi,Rastro triangular
UI_CURSOR_TRAIL_NAME_3,Star Trail,軌跡：スター,星形尾迹,星形尾跡,Rastro Estelar,Rastro estrellado,,,Звездный след,,,Traseu de Stea,Yıldız İzi,Rastro estrellado
UI_CURSOR_TRAIL_NAME_4,Coin Trail,軌跡：コイン,硬币尾迹,硬幣尾跡,Rastro de Moeda,Rastro de monedas,,,След из монет,,,Traseu de Bănuți,Coin İzi,Rastro de monedas
UI_CURSOR_TRAIL_NAME_5,Blue Box Trail,軌跡：ブルーボックス,蓝盒尾迹,藍盒尾跡,Rastro de Caixa Azul,Rastro de caja azul,,,След из синих ящиков,,,Traseu de Cutie Albastră,Blue Box İzi,Rastro de caja azul
UI_CURSOR_TRAIL_NAME_6,Heart Trail,軌跡：ハート,爱心尾迹,愛心尾跡,Rastro de Coração,Rastro de vida,,,След из сердечек,,,Traseu de Inimă,Kalp İzi,Rastro de corazón
UI_CURSOR_TRAIL_NAME_7,Glitter Trail,軌跡：グリッター,闪光尾迹,閃光尾跡,Rastro de Glitter,Rastro de brillo,,,Блестящий след,,,Traseu Sclipitor,Parıltı İzi,Rastro de brillo
UI_CURSOR_TRAIL_NAME_8,Cursor Trail,軌跡：カーソル,光标尾迹,游標尾跡,Rastro de Cursor,Rastro de cursor,,,След из курсоров,,,Traseu de Cursor,İmleç İzi,Rastro de cursor
UI_CURSOR_TRAIL_NAME_9,Dumb Trail,軌跡：包み紙,呆呆尾迹,蠢蠢尾跡,Rastro Burro,Rastro tonto,,,Глупый след,,,Traseu Prostesc,Aptal İz,Rastro tonto
UI_CURSOR_TRAIL_NAME_10,Virus Trail,軌跡：ウイルス,病毒尾迹,病毒尾跡,Rastro de Vírus,Rastro Virus,,,Вирусный след,,,Traseu de Virus,Virüs İzi,Rastro virus
UI_CURSOR_TRAIL_NAME_11,Space Invader Trail,軌跡：インベーダー,太空侵略者尾迹,太空侵略者尾跡,Rastro Space Invader,Rastro Space Invader,,,След космических захватчиков,,,Traseu Space Invader,Space Invader İzi,Rastro de Space Invader
UI_CURSOR_TRAIL_NAME_12,Dev Trail,軌跡：開発者マスコット,开发者尾迹,開發者尾跡,Rastro de Dev,Rastro de Desarrollador,,,След разработчика,,,Traseu Dev,Geliştirici İzi,Rastro de desarrollador
UI_CURSOR_SKIN_NAME_0,,,,,,,,,,,,,,
UI_CURSOR_SKIN_NAME_1,Clipee Skin,クリッピースキン,小夹皮皮肤,小夾皮造型,Skin Clipee,Skin de Clipee,,,Скрепыш,,,Skin Clipee,Clipee Kostümü,Aspecto de Clipee
UI_CURSOR_SKIN_NAME_2,Thug Life Skin,グラサンスキン,痞子人生皮肤,痞子人生造型,Skin Thug Life,Skin de Thug Life,,,Бандит,,,Skin Thug Life,Thug Life Kostümü,Aspecto de Thug Life
UI_CURSOR_SKIN_NAME_3,Sword Skin,ソードスキン,剑形皮肤,劍形造型,Skin Espada,Skin de Espada,,,Меч,,,Skin de Sabie,Kılıç Kostümü,Aspecto de Espada
UI_CURSOR_SKIN_NAME_4,Pickaxe Skin,ピッケルスキン,镐子皮肤,鎬子造型,Skin Picareta,Skin de Pico,,,Кирка,,,Skin de Tarnacop,Kazma Kostümü,Aspecto de Pico
UI_CURSOR_SKIN_NAME_5,Gohei Skin,ゴヘイスキン,御币皮肤,御幣造型,Skin Gohei,Skin de Gohei,,,Гохэй,,,Skin Gohei,Gohei Kostümü,Aspecto de Gohei
UI_CURSOR_SKIN_NAME_6,Pin Skin,ピンスキン,图钉皮肤,圖釘造型,Skin Pin,Skin de Pin,,,Булавка,,,Skin de Ac,İğne Kostümü,Aspecto de Pin
UI_CURSOR_SKIN_NAME_7,Blue Box Skin,ブルーボックススキン,蓝盒皮肤,藍盒造型,Skin Caixa Azul,Skin de Caja Azul,,,Синий ящик,,,Skin Cutie Albastră,Blue Box Kostümü,Aspecto de Caja azul
UI_CURSOR_SKIN_NAME_8,Fish Skin,おさかなスキン,小鱼皮肤,魚魚造型,Skin Peixe,Skin de Pez,,,Рыба,,,Skin de Pește,Balık Kostümü,Aspecto de Pez
UI_CURSOR_SKIN_NAME_9,Magical Girl Skin,魔法少女☆スキン,魔法少女皮肤,魔法少女造型,Skin Garota Mágica,Skin de Chica mágica,,,Девочка-волшебница,,,Skin Fată Magică,Büyülü Kız Kostümü,Aspecto de Chica mágica
UI_CURSOR_SKIN_NAME_10,Banana Skin,バナナスキン,香蕉皮肤,香蕉造型,Skin Banana,Skin de Plátano,,,Банан,,,Skin de Banană,Muz Kostümü,Aspecto de Plátano
UI_CURSOR_SKIN_NAME_11,Pizza Skin,ピザスキン,披萨皮肤,披薩造型,Skin Pizza,Skin de Pizza,,,Пицца,,,Skin de Pizza,Pizza Kostümü,Aspecto de Pizza
UI_CURSOR_SKIN_NAME_12,Determination,ケツイ,决心皮肤,決心造型,Determinação,Determinación,,,Решимость,,,Determinare,Azim,Determinación
PET_NAME_1,Spore,スポア,小孢,小孢,Esporo,Espora,,,Спора,,,Spore,Spor,Espora
PET_NAME_2,Skull,スカル,小骷,小骷,Caveira,Calavera,,,Чареп,,,Skull,Kuru Kafa,Calavera
PET_NAME_3,Trojan,トロイ,小马,小馬,Trojan,Trojano,,,Троян,,,Trojan,Truva,Trojano
PET_NAME_4,Diva,ディーヴァ,小姬,小姬,Diva,Diva,,,Дива,,,Diva,Diva,Diva
PET_NAME_5,ZipBomb,ZIP爆弾,压缩炸弹,壓縮炸彈,ZipBomb,Bomba Zip,,,ZipБомба,,,ZipBomb,ZipBomb,BombaZip
PET_NAME_6,Moai,モアイ,小石,小石,Moai,Moai,,,Моаи,,,Moai,Moai,Moai
PET_NAME_7,User,ユーザー,阿户,阿戶,Usuário,Usuario,,,Пользователь,,,User,Kullanıcı,Usuario
PET_NAME_8,Worm,ワーム,小蠕,小蠕,Worm,Gusano,,,Червь,,,Worm,Solucan,Gusano
PET_NAME_9,Spyder,スパイダー,小蛛,小蛛,Espiaranha,Aracnoespía,,,Шпаук,,,Spyder,Spyder,Araña
PET_NAME_10,Spyder Egg,スパイダーエッグ,小卵,小卵,Ovo Espiaranha,Huevo de Aracnoespía,,,Шпаучье Яйцо,,,Spyder Egg,Spyder Yumurtası,Huevo de araña
PET_NAME_11,Helper,ヘルパー,阿助,阿助,Ajudante,Ayudante,,,Помощник,,,Helper,Yardımcı,Ayudante
PET_NAME_12,Boot Sector,ブートセクタ,引导区,引導區,Boot Sector,Boot Sector,,,Бут Сектор,,,Boot Sector,Boot Sector,Sector de inicio
PET_NAME_13,Cookie Monster,Cookieモンスター,饼干怪兽,餅乾怪獸,CookieMonster,Monstruo de las Galletas,,,Куки Монстр,,,Cookie Monster,Kurabiye Canavarı,Monstruo de las galletas
PET_NAME_14,Byrd,バード,伯德,伯德,Byrd,Pájaro,,,Птиц,,,Byrd,Byrd,Pájaro
PET_NAME_15,Book,ブック,小书,小書,Livro,Libro,,,Книга,,,Book,Kitap,Libro
PET_NAME_16,Conficker,コンフィッカー,共匿者,共匿者,Conficker,Conflicker,,,Conficker,,,Conficker,Conficker,Conficker
